,종목코드,순위
204,A004780,1114
205,A004800,1543
206,A004830,1014
207,A004840,270
208,A004870,206
209,A004890,489
210,A004910,1781
211,A004920,1033
212,A004960,349
213,A004970,1008
214,A004980,1688
215,A004990,1262
216,A005010,1564
217,A005070,1974
218,A005090,1858
219,A005110,815
220,A005160,1860
221,A005180,438
222,A005250,1593
223,A005290,75
224,A005300,1502
225,A005320,1658
226,A005360,741
227,A005380,1694
228,A005390,670
229,A005420,1902
230,A005430,1726
231,A005440,1861
232,A005490,1022
233,A005500,1188
234,A005610,443
235,A005670,1329
236,A005680,1289
237,A005690,1284
238,A005710,1454
239,A005720,1318
240,A005740,1217
241,A005750,1437
242,A005800,1646
243,A005810,1482
244,A005820,1687
245,A005830,1759
246,A005850,187
247,A005860,1894
248,A005870,1204
249,A005880,701
250,A005930,370
251,A005940,423
252,A005950,102
253,A005960,617
254,A005990,524
255,A006040,1379
256,A006050,1246
257,A006060,1855
258,A006090,415
259,A006110,1199
260,A006120,876
261,A006140,905
262,A006200,613
263,A006220,1948
264,A006260,1807
265,A006280,1349
266,A006340,757
267,A006360,1090
268,A006370,531
269,A006390,871
270,A006400,581
271,A006490,1878
272,A006570,260
273,A006580,1128
274,A006620,1813
275,A006650,1271
276,A006660,1292
277,A006730,1170
278,A006740,138
279,A006800,966
280,A006840,938
281,A006880,1251
282,A006890,1598
283,A006910,756
284,A006980,995
285,A007070,1670
286,A007110,57
287,A007120,171
288,A007160,1712
289,A007210,850
290,A007280,961
291,A007310,1391
292,A007330,446
293,A007340,442
294,A007370,1159
295,A007390,1629
296,A007460,968
297,A007530,833
298,A007540,1634
299,A007570,698
300,A007590,467
301,A007610,1119
302,A007660,17
303,A007680,950
304,A007690,865
305,A007700,1339
306,A007720,512
307,A007770,1770
308,A007810,233
309,A007820,888
310,A007860,491
311,A007980,650
312,A008040,1215
313,A008060,485
314,A008110,374
315,A008250,861
316,A008260,1845
317,A008350,1184
318,A008370,1507
319,A008420,1158
320,A008490,1843
321,A008700,575
322,A008730,1854
323,A008770,1342
324,A008830,527
325,A008870,1868
326,A008930,1907
327,A008970,1208
328,A009070,1897
329,A009150,325
330,A009160,1918
331,A009180,1859
332,A009190,960
333,A009200,1477
334,A009240,1346
335,A009270,1747
336,A009290,267
337,A009300,416
338,A009320,662
339,A009410,1378
340,A009420,1612
341,A009440,205
342,A009450,802
343,A009460,821
344,A009470,288
345,A009520,162
346,A009540,269
347,A009580,1481
348,A009620,499
349,A009680,1107
350,A009730,1792
351,A009770,471
352,A009780,1498
353,A009810,604
354,A009830,507
355,A009900,116
356,A009970,1328
357,A010040,1589
358,A010050,1892
359,A010060,1581
360,A010100,1971
361,A010120,1191
362,A010130,1647
363,A010140,168
364,A010170,1216
365,A010240,249
366,A010280,1970
367,A010470,1586
368,A010580,1384
369,A010600,39
370,A010620,365
371,A010640,1392
372,A010660,25
373,A010690,404
374,A010770,848
375,A010780,1234
376,A010820,176
377,A010950,645
378,A010960,1163
379,A011000,1756
380,A011040,1062
381,A011070,343
382,A011150,1584
383,A011170,1213
384,A011200,1799
385,A011210,819
386,A011230,690
387,A011280,198
388,A011300,537
389,A011320,944
390,A011330,1775
391,A011370,653
392,A011390,1093
393,A011420,1294
394,A011500,921
395,A011560,1362
396,A011690,100
397,A011700,849
398,A011760,922
399,A011780,1542
400,A011790,564
401,A011810,1972
402,A011930,321
403,A012030,1140
404,A012160,421
405,A012170,1312
406,A012200,111
407,A012280,748
408,A012320,1441
409,A012330,943
410,A012340,1499
411,A012450,1466
412,A012510,1672
413,A012600,1128
414,A012610,1844
415,A012630,743
416,A012690,181
417,A012700,1321
418,A012750,1779
419,A012790,344
420,A012800,1867
421,A012860,1990
422,A013030,715
423,A013120,1691
424,A013310,20
425,A013360,1476
426,A013520,691
427,A013570,582
428,A013580,1696
429,A013700,196
430,A013720,180
431,A013810,142
432,A013870,981
433,A013890,946
434,A013990,1668
435,A014130,383
436,A014160,624
437,A014190,1278
438,A014200,223
439,A014280,475
440,A014440,737
441,A014470,1176
442,A014530,1229
443,A014570,414
444,A014580,1648
445,A014620,1627
446,A014680,534
447,A014710,1373
448,A014790,215
449,A014820,1253
450,A014830,509
451,A014910,1080
452,A014940,1707
453,A014970,1061
454,A014990,237
455,A015230,1896
456,A015260,1644
457,A015360,1206
458,A015540,1128
459,A015590,18
460,A015710,1024
461,A015750,441
462,A015760,1679
463,A015860,1187
464,A015890,1886
465,A016090,1293
466,A016100,869
467,A016250,644
468,A016360,707
469,A016380,1783
470,A016450,1003
471,A016580,1472
472,A016590,1988
473,A016600,600
474,A016610,986
475,A016710,2000
476,A016740,291
477,A016790,1959
478,A016800,516
479,A016880,1372
480,A017000,226
481,A017040,798
482,A017180,840
483,A017370,418
484,A017390,1984
485,A017480,1347
486,A017510,952
487,A017550,1534
488,A017650,448
489,A017670,656
490,A017800,214
491,A017810,642
492,A017890,1115
493,A017900,71
494,A017940,1058
495,A017960,1467
496,A018000,1556
497,A018120,1444
498,A018250,1365
499,A018260,951
500,A018290,822
501,A018310,457
502,A018470,484
503,A018500,1242
504,A018620,1268
505,A018670,1812
506,A018680,207
507,A018700,705
508,A018880,1311
509,A019010,901
510,A019170,1460
511,A019180,1978
512,A019210,857
513,A019440,982
514,A019540,55
515,A019550,424
516,A019570,359
517,A019590,1500
518,A019660,1940
519,A019680,1266
520,A019770,699
521,A019990,1000
522,A020000,1528
523,A020120,706
524,A020150,1580
525,A020560,1334
526,A020710,154
527,A020760,762
528,A021050,767
529,A021080,1413
530,A021240,1390
531,A021320,846
532,A021650,498
533,A021820,292
534,A021880,52
535,A022100,1615
536,A022220,393
537,A023000,1336
538,A023150,749
539,A023160,1442
540,A023350,405
541,A023410,511
542,A023440,1979
543,A023450,1549
544,A023460,50
545,A023530,1436
546,A023590,753
547,A023600,1350
548,A023760,1430
549,A023770,1927
550,A023800,519
551,A023810,1469
552,A023900,930
553,A023910,1291
554,A023960,1810
555,A024060,811
556,A024070,1231
557,A024090,1768
558,A024110,394
559,A024120,1771
560,A024720,1223
561,A024740,129
562,A024800,1649
563,A024810,14
564,A024830,734
565,A024840,1409
566,A024850,1408
567,A024880,515
568,A024890,317
569,A024900,1949
570,A024910,83
571,A024940,440
572,A024950,915
573,A025000,824
574,A025320,931
575,A025440,1956
576,A025530,11
577,A025540,1100
578,A025550,844
579,A025560,1983
580,A025750,1559
581,A025770,965
582,A025820,1862
583,A025860,1025
584,A025880,1931
585,A025900,731
586,A025950,411
587,A025980,1240
588,A026040,761
589,A026150,362
590,A026890,1172
591,A026940,412
592,A026960,1489
593,A027050,1183
594,A027360,73
595,A027410,1890
596,A027580,1463
597,A027710,911
598,A027740,750
599,A027830,906
600,A027970,1446
601,A028050,1642
602,A028080,1558
603,A028100,384
604,A028260,935
605,A028300,1237
606,A028670,1568
607,A029460,903
608,A029480,1955
609,A029530,577
610,A029780,1076
611,A029960,663
612,A030000,1677
613,A030190,1725
614,A030200,736
615,A030210,1882
616,A030350,354
617,A030520,504
618,A030530,381
619,A030610,388
620,A030960,386
621,A031310,883
622,A031330,547
623,A031430,1839
624,A031440,1667
625,A031510,683
626,A031820,772
627,A031860,1966
628,A031980,107
629,A032190,1297
630,A032300,1072
631,A032350,855
632,A032500,678
633,A032540,420
634,A032560,1831
635,A032580,5
636,A032620,1057
637,A032640,1155
638,A032680,657
639,A032750,182
640,A032790,140
641,A032800,248
642,A032820,220
643,A032830,1506
644,A032850,247
645,A032860,804
646,A032940,910
647,A032960,647
648,A032980,813
649,A033100,1834
650,A033130,1218
651,A033160,718
652,A033170,732
653,A033180,1243
654,A033200,963
655,A033230,609
656,A033240,1169
657,A033270,1718
658,A033290,1035
659,A033310,1748
660,A033320,91
661,A033340,1128
662,A033500,972
663,A033530,875
664,A033540,1985
665,A033560,1081
666,A033640,408
667,A033780,1367
668,A033830,44
669,A033920,1044
670,A034020,766
671,A034120,1501
672,A034220,419
673,A034230,1574
674,A034300,1426
675,A034310,1351
676,A034590,1002
677,A034730,768
678,A034810,518
679,A034830,595
680,A034940,1097
681,A034950,1354
682,A035000,1717
683,A035080,64
684,A035150,1774
685,A035250,1656
686,A035290,1755
687,A035420,1816
688,A035460,1230
689,A035510,1833
690,A035600,469
691,A035610,1370
692,A035620,378
693,A035720,1348
694,A035760,592
695,A035810,1322
696,A035890,1267
697,A035900,61
698,A036000,1150
699,A036010,60
700,A036030,1793
701,A036090,1433
702,A036120,958
703,A036170,29
704,A036190,660
705,A036200,179
706,A036420,505
707,A036460,1562
708,A036480,137
709,A036530,916
710,A036540,526
711,A036560,941
712,A036570,1823
713,A036580,328
714,A036620,56
715,A036630,307
716,A036640,1828
717,A036670,1539
718,A036690,862
719,A036710,119
720,A036800,1773
721,A036810,428
722,A036830,426
723,A036890,1683
724,A036930,413
725,A037030,1156
726,A037070,1618
727,A037230,536
728,A037270,121
729,A037330,355
730,A037350,704
731,A037370,459
732,A037440,1803
733,A037460,884
734,A037560,199
735,A037710,631
736,A037760,809
737,A037950,1947
738,A038010,316
739,A038060,201
740,A038070,1382
741,A038110,1458
742,A038290,998
743,A038390,1641
744,A038460,899
745,A038500,1368
746,A038530,78
747,A038540,371
748,A038620,1459
749,A038680,453
750,A038870,358
751,A038880,47
752,A038950,380
753,A039010,794
754,A039020,1226
755,A039030,390
756,A039130,914
757,A039200,294
758,A039240,616
759,A039290,1162
760,A039310,1563
761,A039340,588
762,A039420,1930
763,A039440,659
764,A039490,525
765,A039560,1517
766,A039570,1005
767,A039610,351
768,A039830,1273
769,A039840,1804
770,A039860,832
771,A040160,239
772,A040300,1064
773,A040350,1475
774,A040420,1032
775,A040610,1577
776,A040910,1761
777,A041020,49
778,A041190,673
779,A041440,984
780,A041460,1029
781,A041510,1714
782,A041520,799
783,A041590,494
784,A041650,175
785,A041830,1701
786,A041910,1075
787,A041920,1377
788,A041930,980
789,A041960,1198
790,A042000,728
791,A042040,1973
792,A042110,1915
793,A042370,947
794,A042420,464
795,A042500,1241
796,A042510,1944
797,A042520,1808
798,A042600,54
799,A042660,437
800,A042670,1752
801,A042700,82
802,A042940,280
803,A043090,1995
804,A043150,1965
805,A043220,1270
806,A043260,120
807,A043340,1288
808,A043370,79
809,A043590,918
810,A043610,1639
811,A043650,1042
812,A043910,434
813,A044060,1872
814,A044340,1327
815,A044380,593
816,A044450,382
817,A044490,1585
818,A044820,971
819,A044960,571
820,A045060,1376
821,A045100,1053
822,A045300,203
823,A045390,710
824,A045520,974
825,A045660,281
826,A045970,151
827,A046070,104
828,A046120,940
829,A046140,1850
830,A046210,1908
831,A046310,331
832,A046390,1913
833,A046440,1749
834,A046890,209
835,A046940,851
836,A047040,1352
837,A047050,259
838,A047080,693
839,A047310,148
840,A047400,1969
841,A047560,19
842,A047770,114
843,A047810,674
844,A047820,253
845,A047920,1214
846,A048260,1220
847,A048410,580
848,A048430,878
849,A048530,1465
850,A048550,818
851,A048770,302
852,A048870,1869
853,A048910,222
854,A049070,620
855,A049080,210
856,A049120,820
857,A049180,1415
858,A049430,389
859,A049480,725
860,A049520,1403
861,A049550,1830
862,A049630,1964
863,A049720,1865
864,A049770,1360
865,A049800,1222
866,A049830,1146
867,A049950,892
868,A049960,829
869,A050110,635
870,A050120,1252
871,A050860,169
872,A050890,687
873,A050960,797
874,A051160,681
875,A051360,533
876,A051370,93
877,A051380,255
878,A051490,274
879,A051500,1801
880,A051600,1673
881,A051630,1719
882,A051780,157
883,A051900,637
884,A051910,621
885,A051980,1313
886,A052020,632
887,A052220,364
888,A052260,1605
889,A052300,27
890,A052330,680
891,A052400,472
892,A052420,391
893,A052460,126
894,A052600,576
895,A052670,1795
896,A052690,1824
897,A052710,1986
898,A052790,720
899,A052860,942
900,A052900,357
901,A053030,1301
902,A053050,1939
903,A053080,733
904,A053160,186
905,A053210,1723
906,A053260,1082
907,A053270,539
908,A053280,487
909,A053290,1059
910,A053300,1108
911,A053350,863
912,A053450,261
913,A053580,1809
914,A053590,16
915,A053610,314
916,A053620,1153
917,A053690,1935
918,A053700,1652
919,A053800,1203
920,A053950,939
921,A053980,834
922,A054040,1272
923,A054050,1638
924,A054090,742
925,A054180,242
926,A054210,1369
927,A054450,563
928,A054540,1087
929,A054620,1519
930,A054670,574
931,A054780,1017
932,A054800,825
933,A054920,185
934,A054930,1786
935,A054950,244
936,A055490,1695
937,A055550,1487
938,A056080,1818
939,A056090,112
940,A056190,1051
941,A056360,1254
942,A056700,1555
943,A056730,1788
944,A057030,745
945,A057050,1493
946,A057540,1996
947,A057680,379
948,A057880,152
949,A058110,229
950,A058400,1228
951,A058430,1582
952,A058470,1522
953,A058610,1954
954,A058630,1205
955,A058650,1439
956,A058730,1078
957,A058820,125
958,A058850,1750
959,A058860,712
960,A058970,1566
961,A059090,517
962,A059100,847
963,A059120,345
964,A059210,12
965,A059270,62
966,A060150,682
967,A060230,755
968,A060240,928
969,A060250,717
970,A060280,1018
971,A060310,23
972,A060370,1232
973,A060380,1331
974,A060540,1314
975,A060560,1353
976,A060570,1393
977,A060590,395
978,A060720,265
979,A060850,770
980,A060900,646
981,A060980,655
982,A061040,1038
983,A061250,719
984,A061970,258
985,A062860,925
986,A063080,902
987,A063160,1494
988,A063170,1009
989,A063440,967
990,A063570,1185
991,A064090,1626
992,A064240,308
993,A064260,202
994,A064290,422
995,A064350,1838
996,A064480,1300
997,A064520,1613
998,A064550,318
999,A064760,399
1000,A064800,1871
1001,A064820,170
1002,A064850,1572
1003,A064960,488
1004,A065130,456
1005,A065150,796
1006,A065170,1919
1007,A065350,490
1008,A065370,1040
1009,A065440,889
1010,A065450,814
1011,A065510,530
1012,A065530,1344
1013,A065560,1128
1014,A065650,1575
1015,A065660,1571
1016,A065680,264
1017,A065710,1595
1018,A065950,156
1019,A066130,964
1020,A066310,197
1021,A066360,839
1022,A066410,372
1023,A066570,436
1024,A066590,460
1025,A066620,841
1026,A066670,1438
1027,A066700,1358
1028,A066900,738
1029,A066910,1137
1030,A066970,299
1031,A066980,131
1032,A067000,1361
1033,A067080,1720
1034,A067160,1608
1035,A067170,771
1036,A067280,1357
1037,A067290,1576
1038,A067310,221
1039,A067370,1921
1040,A067390,1657
1041,A067570,1490
1042,A067630,1306
1043,A067830,1910
1044,A067900,1244
1045,A067920,1092
1046,A067990,619
1047,A068050,1798
1048,A068240,406
1049,A068270,1636
1050,A068290,1177
1051,A068330,430
1052,A068400,135
1053,A068760,367
1054,A068790,1212
1055,A068930,1509
1056,A069080,1676
1057,A069110,1128
1058,A069260,1071
1059,A069410,130
1060,A069460,410
1061,A069510,1866
1062,A069540,546
1063,A069620,1110
1064,A069640,289
1065,A069730,1811
1066,A069920,1961
1067,A069960,1317
1068,A070960,1054
1069,A071050,1324
1070,A071090,740
1071,A071200,835
1072,A071280,806
1073,A071320,1533
1074,A071460,881
1075,A071670,402
1076,A071840,996
1077,A071970,523
1078,A072020,694
1079,A072130,780
1080,A072470,1450
1081,A072710,1050
1082,A072770,262
1083,A072870,1406
1084,A072990,445
1085,A073010,651
1086,A073110,894
1087,A073240,999
1088,A073490,558
1089,A073560,1448
1090,A073570,1662
1091,A073640,1238
1092,A074430,1942
1093,A074600,319
1094,A074610,1248
1095,A075180,723
1096,A075580,1628
1097,A075970,1856
1098,A076080,1643
1099,A076610,1738
1100,A077360,200
1101,A077500,231
1102,A077970,439
1103,A078000,1340
1104,A078020,1302
1105,A078070,827
1106,A078130,72
1107,A078140,805
1108,A078150,89
1109,A078160,845
1110,A078340,1432
1111,A078350,53
1112,A078520,1565
1113,A078590,1128
1114,A078600,685
1115,A078890,1006
1116,A078930,1282
1117,A078940,1535
1118,A079160,478
1119,A079170,1891
1120,A079370,70
1121,A079430,1325
1122,A079550,1706
1123,A079810,105
1124,A079940,1633
1125,A079960,948
1126,A079970,1530
1127,A079980,782
1128,A080000,193
1129,A080010,585
1130,A080160,852
1131,A080220,330
1132,A080420,639
1133,A080470,1263
1134,A080520,562
1135,A080580,1447
1136,A080720,1180
1137,A081000,671
1138,A081150,1885
1139,A081580,1550
1140,A081660,1034
1141,A082210,208
1142,A082270,569
1143,A082640,912
1144,A082660,1977
1145,A082740,346
1146,A082800,110
1147,A082850,1924
1148,A082920,373
1149,A083310,486
1150,A083420,1741
1151,A083450,194
1152,A083470,1879
1153,A083500,643
1154,A083550,908
1155,A083650,315
1156,A083660,8
1157,A083790,9
1158,A083930,548
1159,A084010,1492
1160,A084110,614
1161,A084180,1557
1162,A084370,480
1163,A084650,703
1164,A084670,279
1165,A084680,1603
1166,A084690,1259
1167,A084730,1190
1168,A084850,975
1169,A084990,550
1170,A085310,579
1171,A085370,479
1172,A085620,106
1173,A085660,363
1174,A085670,483
1175,A085810,1414
1176,A085910,1417
1177,A086040,1396
1178,A086280,1030
1179,A086390,84
1180,A086450,502
1181,A086520,1998
1182,A086670,1094
1183,A086710,63
1184,A086790,1256
1185,A086820,791
1186,A086890,1407
1187,A086900,1255
1188,A086960,118
1189,A086980,625
1190,A087010,803
1191,A087260,853
1192,A087600,1083
1193,A088130,1070
1194,A088290,1963
1195,A088350,886
1196,A088390,778
1197,A088800,1836
1198,A088910,1330
1199,A089010,347
1200,A089030,610
1201,A089140,1729
1202,A089150,945
1203,A089230,1296
1204,A089470,1422
1205,A089590,1680
1206,A089600,1257
1207,A089790,578
1208,A089850,752
1209,A089890,303
1210,A089970,150
1211,A089980,787
1212,A090080,452
1213,A090150,658
1214,A090350,1666
1215,A090360,1835
1216,A090370,462
1217,A090410,898
1218,A090430,376
1219,A090460,385
1220,A090470,1722
1221,A090710,1279
1222,A090850,1732
1223,A091090,1929
1224,A091120,896
1225,A091340,1906
1226,A091580,1599
1227,A091590,1404
1228,A091700,147
1229,A091810,936
1230,A091990,1480
1231,A092040,540
1232,A092070,543
1233,A092130,1452
1234,A092190,69
1235,A092200,1820
1236,A092220,1398
1237,A092230,1274
1238,A092300,450
1239,A092440,1019
1240,A092460,1916
1241,A092730,1233
1242,A092780,1247
1243,A092870,227
1244,A093050,1532
1245,A093190,1394
1246,A093230,1982
1247,A093240,304
1248,A093320,1383
1249,A093370,493
1250,A093520,4
1251,A093640,338
1252,A093920,1149
1253,A094170,1806
1254,A094280,669
1255,A094360,34
1256,A094480,1011
1257,A094820,352
1258,A094840,675
1259,A094850,1027
1260,A094860,66
1261,A094940,1617
1262,A094970,1819
1263,A095190,1445
1264,A095270,689
1265,A095340,94
1266,A095500,113
1267,A095570,1299
1268,A095610,476
1269,A095660,1435
1270,A095700,774
1271,A095720,784
1272,A095910,1851
1273,A096040,30
1274,A096240,1111
1275,A096350,41
1276,A096530,1304
1277,A096610,1873
1278,A096630,1703
1279,A096640,1537
1280,A096690,1730
1281,A096760,1219
1282,A096770,783
1283,A097230,872
1284,A097520,654
1285,A097780,1958
1286,A097800,24
1287,A097870,1596
1288,A097950,1200
1289,A098120,177
1290,A098460,403
1291,A099190,218
1292,A099220,572
1293,A099320,1661
1294,A099440,48
1295,A099520,1128
1296,A099750,520
1297,A100030,1513
1298,A100090,568
1299,A100120,962
1300,A100130,1846
1301,A100220,956
1302,A100250,1186
1303,A100590,1381
1304,A100660,599
1305,A100700,184
1306,A100790,781
1307,A100840,1905
1308,A101140,510
1309,A101160,67
1310,A101170,337
1311,A101240,286
1312,A101330,1926
1313,A101360,350
1314,A101390,842
1315,A101490,245
1316,A101530,293
1317,A101670,1817
1318,A101730,1933
1319,A101930,810
1320,A102120,320
1321,A102260,1036
1322,A102280,1874
1323,A102460,1684
1324,A102710,335
1325,A102940,1088
1326,A103140,1702
1327,A103590,1098
1328,A103840,361
1329,A104040,481
1330,A104200,1239
1331,A104460,1999
1332,A104480,838
1333,A104540,1797
1334,A104620,601
1335,A104700,1654
1336,A104830,473
1337,A105330,684
1338,A105550,1366
1339,A105560,1001
1340,A105630,1765
1341,A105740,1148
1342,A105840,549
1343,A106080,1194
1344,A106190,1904
1345,A107590,1113
1346,A108230,514
1347,A108320,431
1348,A108380,500
1349,A108490,1713
1350,A108670,560
1351,A108860,1520
1352,A109070,1128
1353,A109080,1416
1354,A109610,90
1355,A109740,392
1356,A109820,817
1357,A109860,1046
1358,A109960,1699
1359,A110790,555
1360,A110990,584
1361,A111110,777
1362,A111710,1468
1363,A111770,1173
1364,A112040,1547
1365,A112610,597
1366,A113810,28
1367,A114090,313
1368,A114190,252
1369,A114450,1470
1370,A114630,1471
1371,A114810,216
1372,A115160,283
1373,A115180,1724
1374,A115310,1975
1375,A115390,730
1376,A115440,1521
1377,A115450,268
1378,A115480,1079
1379,A115500,1168
1380,A115610,136
1381,A115960,1227
1382,A117580,1548
1383,A117730,95
1384,A118000,454
1385,A118990,800
1386,A119500,880
1387,A119610,1622
1388,A119650,1711
1389,A119830,173
1390,A119850,282
1391,A119860,1740
1392,A120030,695
1393,A120110,649
1394,A120240,1276
1395,A121440,1790
1396,A121600,874
1397,A121800,713
1398,A121850,1941
1399,A122310,923
1400,A122350,722
1401,A122450,1709
1402,A122640,341
1403,A122690,1143
1404,A122870,37
1405,A122900,1077
1406,A122990,230
1407,A123010,1012
1408,A123040,1139
1409,A123410,1023
1410,A123420,1911
1411,A123570,1716
1412,A123690,1281
1413,A123700,21
1414,A123750,976
1415,A123860,232
1416,A123890,739
1417,A124500,1085
1418,A124560,1290
1419,A125210,1689
1420,A126340,1236
1421,A126560,1704
1422,A126600,1536
1423,A126640,1359
1424,A126700,396
1425,A126880,1650
1426,A127120,311
1427,A127710,634
1428,A128540,747
1429,A128660,1345
1430,A128820,1870
1431,A128940,1888
1432,A129260,1086
1433,A129890,759
1434,A130500,1343
1435,A130580,1105
1436,A130660,1269
1437,A131030,1884
1438,A131090,1128
1439,A131100,885
1440,A131220,529
1441,A131290,174
1442,A131370,826
1443,A131400,85
1444,A131760,714
1445,A131970,278
1446,A133750,807
1447,A133820,1681
1448,A134380,1152
1449,A134580,1261
1450,A134790,1578
1451,A136480,648
1452,A136490,789
1453,A136510,1010
1454,A136540,1364
1455,A137400,859
1456,A137950,1310
1457,A138040,1495
1458,A138070,1421
1459,A138080,1389
1460,A138490,1166
1461,A138580,1464
1462,A138610,1474
1463,A138930,711
1464,A139050,1597
1465,A139130,1069
1466,A139480,1957
1467,A139670,919
1468,A140070,74
1469,A140410,590
1470,A140520,141
1471,A140670,1295
1472,A140860,256
1473,A141000,1511
1474,A141080,1275
1475,A142210,801
1476,A142280,1782
1477,A142760,1138
1478,A143160,926
1479,A143210,1277
1480,A143240,1424
1481,A143540,993
1482,A144510,990
1483,A144960,167
1484,A145020,953
1485,A145210,40
1486,A145720,1936
1487,A145990,1320
1488,A147760,1067
1489,A147830,1883
1490,A148150,306
1491,A148250,1508
1492,A149950,305
1493,A149980,1815
1494,A150840,1410
1495,A150900,1128
1496,A151860,155
1497,A151910,369
1498,A153460,1264
1499,A153490,561
1500,A153710,368
1501,A155650,263
1502,A155660,1764
1503,A156100,1994
1504,A158430,638
1505,A159580,1552
1506,A159910,1791
1507,A160550,503
1508,A160600,1128
1509,A160980,466
1510,A161000,342
1511,A161390,1483
1512,A161580,979
1513,A161890,1401
1514,A163560,1209
1515,A163730,985
1516,A164060,1841
1517,A166090,449
1518,A166480,1849
1519,A168330,788
1520,A169330,1431
1521,A170030,1847
1522,A170790,1461
1523,A170900,1189
1524,A170920,1524
1525,A171010,225
1526,A171090,612
1527,A171120,144
1528,A173130,1193
1529,A173940,559
1530,A174900,301
1531,A175140,955
1532,A175250,1341
1533,A175330,721
1534,A177350,1192
1535,A177830,893
1536,A178320,1989
1537,A178780,1128
1538,A178920,324
1539,A179290,1968
1540,A179900,1174
1541,A180400,298
1542,A180640,273
1543,A181340,1842
1544,A181710,1515
1545,A182360,1880
1546,A182400,224
1547,A183190,867
1548,A183300,309
1549,A183490,103
1550,A184230,496
1551,A185490,1106
1552,A185750,1283
1553,A186230,1066
1554,A187220,1144
1555,A187270,1822
1556,A187420,688
1557,A187870,522
1558,A189300,1570
1559,A189330,166
1560,A189690,668
1561,A189860,866
1562,A189980,158
1563,A190510,297
1564,A190650,1516
1565,A191420,1743
1566,A192080,1671
1567,A192250,276
1568,A192400,1338
1569,A192410,1551
1570,A192440,474
1571,A192650,1604
1572,A192820,339
1573,A193250,920
1574,A194370,969
